"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"12.07.2019","62,9505","62,8166","63,1919","62,8150","0,21%"
"11.07.2019","62,8166","63,1755","63,1800","62,7697","-0,57%"
"10.07.2019","63,1755","63,9014","63,9118","63,1217","-1,14%"
"09.07.2019","63,9014","63,6823","63,9381","63,6823","0,34%"
"08.07.2019","63,6823","63,8159","63,9788","63,4958","-0,21%"
"05.07.2019","63,8159","63,4766","63,8618","63,4375","0,53%"
"04.07.2019","63,4766","63,3220","63,5159","63,3196","0,24%"
"03.07.2019","63,3220","63,3110","63,6587","63,2836","0,02%"
"02.07.2019","63,3110","62,9730","63,3841","62,9601","0,54%"
"01.07.2019","62,9730","63,2305","63,2397","62,7962","-0,41%"
"28.06.2019","63,2305","63,0788","63,2768","62,8587","0,24%"
"27.06.2019","63,0788","63,0602","63,1348","62,9433","0,03%"
"26.06.2019","63,0602","62,8613","63,2246","62,7676","0,32%"
"25.06.2019","62,8613","62,5840","63,0229","62,4997","0,44%"
"24.06.2019","62,5840","63,0073","63,0250","62,5838","-0,67%"
"21.06.2019","63,0073","62,9100","63,5455","62,8903","0,15%"
"20.06.2019","62,9100","63,7783","63,7850","62,8732","-1,36%"
"19.06.2019","63,7783","64,0250","64,0485","63,7155","-0,39%"
"18.06.2019","64,0250","64,3192","64,3840","63,9222","-0,46%"
"17.06.2019","64,3192","64,3011","64,3525","64,1405","-0,11%"
"14.06.2019","64,3915","64,5806","64,5806","64,2199","-0,29%"
"13.06.2019","64,5806","64,5588","64,7037","64,5014","0,03%"
"11.06.2019","64,5588","64,7798","64,7798","64,4483","-0,34%"
"10.06.2019","64,7798","64,8700","64,8800","64,6364","-0,14%"
"07.06.2019","64,8700","65,0850","65,1459","64,7622","-0,33%"
"06.06.2019","65,0850","65,3773","65,3950","65,0258","-0,45%"
"05.06.2019","65,3773","65,1582","65,3877","64,9648","0,34%"
"04.06.2019","65,1582","65,3445","65,3445","65,0033","-0,29%"
"03.06.2019","65,3445","65,4306","65,5914","65,1698","-0,13%"
"31.05.2019","65,4306","65,1893","65,5838","65,1331","0,37%"
"30.05.2019","65,1893","64,9661","65,1975","64,8900","0,34%"
"29.05.2019","64,9661","64,7077","65,3771","64,7077","0,40%"
"28.05.2019","64,7077","64,4589","64,7413","64,4589","0,39%"
"27.05.2019","64,4589","64,4809","64,4991","64,3664","-0,03%"
"24.05.2019","64,4809","64,8495","64,8550","64,4082","-0,57%"
"23.05.2019","64,8495","64,3877","64,9204","64,3877","0,72%"
"22.05.2019","64,3877","64,4213","64,4700","64,1531","-0,05%"
"21.05.2019","64,4213","64,5266","64,6043","64,3503","-0,16%"
"20.05.2019","64,5266","64,7683","64,7774","64,4320","-0,37%"
"17.05.2019","64,7683","64,6215","64,7965","64,5597","0,23%"
"16.05.2019","64,6215","64,6534","64,6639","64,4030","-0,05%"
"15.05.2019","64,6534","64,9450","64,9557","64,4918","-0,45%"
"14.05.2019","64,9450","65,4278","65,4320","64,8605","-0,74%"
"13.05.2019","65,4278","65,1033","65,5447","65,0750","0,50%"
"10.05.2019","65,1033","65,0687","65,4374","65,0601","0,05%"
"08.05.2019","65,0687","65,3974","65,4075","64,9194","-0,50%"
"07.05.2019","65,3974","65,2236","65,4535","65,0155","0,27%"
"06.05.2019","65,2236","65,0880","65,4943","65,0580","0,21%"
